Timestamp,How heavy is Ian's dog? Please enter a number
,
,
,
,
,
,
,
,
,
,
,
10/06/2018 10:12:08,12
10/06/2018 10:12:14,7
10/06/2018 10:12:14,12
10/06/2018 10:12:14,5
10/06/2018 10:12:20,15
10/06/2018 10:12:22,8kg
10/06/2018 10:12:22,18
10/06/2018 10:12:22,10
10/06/2018 10:12:25,8
10/06/2018 10:12:33,15
10/06/2018 10:12:34,3
10/06/2018 10:12:36,7
10/06/2018 10:12:37,12
10/06/2018 10:12:37,9
10/06/2018 10:12:41,20
10/06/2018 10:12:41,8
10/06/2018 10:12:41,10
10/06/2018 10:12:42,21
10/06/2018 10:12:44,5
10/06/2018 10:12:44,28
10/06/2018 10:12:45,13
10/06/2018 10:12:45,16
10/06/2018 10:12:46,15
10/06/2018 10:12:46,8
10/06/2018 10:12:46,14
10/06/2018 10:12:46,8
10/06/2018 10:12:46,10
10/06/2018 10:12:47,10
10/06/2018 10:12:47,6
10/06/2018 10:12:48,45
10/06/2018 10:12:48,18
10/06/2018 10:12:48,5
10/06/2018 10:12:48,12
10/06/2018 10:12:48,8
10/06/2018 10:12:48,18
10/06/2018 10:12:49,15
10/06/2018 10:12:49,120
10/06/2018 10:12:50,6.3
10/06/2018 10:12:50,8
10/06/2018 10:12:50,12
10/06/2018 10:12:50,10
10/06/2018 10:12:50,15
10/06/2018 10:12:51,13
10/06/2018 10:12:51,9
10/06/2018 10:12:51,16
10/06/2018 10:12:51,4
10/06/2018 10:12:52,10
10/06/2018 10:12:52,7.3
10/06/2018 10:12:52,5.3
10/06/2018 10:12:52,3
10/06/2018 10:12:53,35
10/06/2018 10:12:54,5
10/06/2018 10:12:54,18
10/06/2018 10:12:54,10
10/06/2018 10:12:55,15
10/06/2018 10:12:55,12
10/06/2018 10:12:55,12
10/06/2018 10:12:55,42
10/06/2018 10:12:55,8
10/06/2018 10:12:55,12KG
10/06/2018 10:12:56,12
10/06/2018 10:12:56,22kg
10/06/2018 10:12:57,10
10/06/2018 10:12:58,7
10/06/2018 10:12:58,18
10/06/2018 10:12:58,10
10/06/2018 10:12:59,11kg
10/06/2018 10:12:59,9
10/06/2018 10:13:00,10
10/06/2018 10:13:00,18
10/06/2018 10:13:01,22
10/06/2018 10:13:02,15
10/06/2018 10:13:04,8
10/06/2018 10:13:04,2kg
10/06/2018 10:13:05,12
10/06/2018 10:13:06,12.1
10/06/2018 10:13:09,8.5
10/06/2018 10:13:11,12
10/06/2018 10:13:12,10
10/06/2018 10:13:12,20
10/06/2018 10:13:14,8.666666667
10/06/2018 10:13:14,8
10/06/2018 10:13:16,29.1
10/06/2018 10:13:16,18
10/06/2018 10:13:22,5
10/06/2018 10:13:25,14
10/06/2018 10:13:28,18.6666
10/06/2018 10:13:31,12.9
10/06/2018 10:13:35,17
10/06/2018 10:13:36,16
10/06/2018 10:13:40,15
10/06/2018 10:13:44,30
10/06/2018 10:14:03,18.71337
10/06/2018 10:20:16,25kg
